APPLICATIONFEE,APPROVALREQUIRED,AREA,BATHSFULL,BATHSHALF,BEDS,CITY,CLOSEDDATE,COMPACTOR,COMPBONUS,CONNECTIONS,COOLSYSTEM,COOPSALE,COUNTERTOPS,COUNTRY,COUNTY,DAYSONMARKET,DAYSONMARKETCUMULATIVE,DAYSTOCLOSING,DEPOSITPET,DEPOSITSECURITY,GARAGECAP,GPEXT_GEOCODEDATE,GPEXT_LATITUDE,GPEXT_LONGITUDE,LEASEPRICE,LEGALSUBDIVISION,LISTDATE,LISTPRICE,LOTSIZE,LOTSIZESRC,PETS,PHOTOCOUNT,PHOTODATE,REALREMARKS,RECFACILITYFEE,REMARKS,REMOVALOPTDATE,RENTALTERMS,RENTALTYPE,SQFTBLDG,SQFTSOURCE,STORIES,STREETDIR,STREETNAME,STREETNUM,STREETNUMDISPLAY,SUBDIVISION,YEARBUILT,ZIP4,ZIPCODE
50,Y,30,3,1,4,Sugar Land,9/12/14 0:00,N,NULL,"ELDRY,GASDR,WASHR",CNELE,N,Granite,183,FORTBEND,42,42,11,N,2000,2,7/21/14 16:39,29.57495689,-95.6767807,2000,RIVERPARK,7/21/14 0:00,2000,8298,APPDS,NOALL,20,7/22/14 11:06,Please turn in Lease application with $50 app fee/person over 18 yrs. Along with copies of most 2 recent paycheck stubs and copy of drivers license.,NULL,"2-Story, 4 Bedroom, 3.5 bath, 2 detached garage, Open Floorplan w/high ceilings/Formal Dining room/ Study or Formal Living Room/ Gourmet Kitchen w 42'' Cabinets, Granite, Private Gameroom/ Master Bedroom Down w/ bay window/ Huge closet/ Double Sinks/ Gas fireplace in family room/ Recessed lighting/ plus much more!",NULL,1YEAR,FREES,2946,APDIS,NULL,NULL,Hill Canyon Ct,2107,2107,Riverpark ,1998,8963,77479
45,Y,30,2,1,3,SUGAR LAND,9/12/14 0:00,N,NULL,"ELDRY,GASDR,WASHR",CNELE,N,Formica,183,FORTBEND,19,19,24,Y,2200,2,7/31/14 14:03,29.55705452,-95.65802002,2100,VISTA OF GREATWOOD,7/31/14 0:00,2200,4118,APPDS,CSBAS,24,7/31/14 22:43,"Beautiful ''Never been Leased'' townhouse in Greatwood Vista's. Largest plan offers Master down, Nice corner lot with greenbelt behind and back yard space fenced. Fresh decorator paint thru-out, slate and wood flooring. Refrigerator, Washer & Dryer included. Backyard maintenance included. NO SMOKERS, PET RESTRICTIONS, BUT PREFER NONE.",OWNER,"Beautiful Townhome and Location. Not previously leased. Features decorator paint thru out. Wood floors and slate tile. Corner unit with nice back yard space, which will be maintained by the Owner. Seeking NON SMOKERS and someone who will appreciate and care for their home as they did. One Year with option for longer. Hurry these don't come around often.",NULL,1YEAR,TWNHO,2304,APDIS,2,NULL,SILENT WILLOW,8958,8958,VISTA'S OF GREATWOOD,2004,5481,77479
60,Y,30,2,0,4,Sugar Land,9/12/14 0:00,N,NULL,"ELDRY,GASDR,WASHR",CNELE,N,Granite,183,FORTBEND,40,40,2,NULL,2300,2,8/1/14 9:30,29.55936623,-95.66423798,2300,GREATWOOD TERRACE,8/1/14 0:00,2150,8074,APPDS,NOALL,29,8/1/14 15:29,For lease only. Credit score over 650.  One month deposit ($2150) + 1st month rent before move in.  No smokers.  No Pets.,NULL,"Immaculate, completely updated one story, 4 bedrm. in Greatwood.  Excellent schools.  New carpet, granite, paint in/out, roof, water heater.  Light and bright with open island kitchen to living area.  New kitchen appliances.  Corner lot, cul de sac, sprinkler system.  Community pools and parks.  Close to hwys. Split floor plan. Home shines like new.  2 car attached garage (with openers).  So gorgeous, this won't last long.  Hurry before school starts!",9/10/14 0:00,6MONT,FREES,2340,APDIS,1,NULL,River Trail,1722,1722,Greatwood,1997,NULL,77479
35,Y,30,2,0,3,Richmond,9/12/14 0:00,NULL,NULL,NULL,CNELE,N,NULL,183,FORTBEND,34,34,4,Y,NULL,2,8/5/14 16:35,29.50018883,-95.76487732,1440,SUNRISE MEADOW,8/5/14 0:00,1400,7980,APPDS,CSBAS,10,NULL,HOMEOWNER EXTREMELY MOTIVATED AND SAYS ''BRING ALL OFFERS'',NULL,"LOVELY HOME IN THE DESIRED SUNRISE MEADOW SUBDIVISION. THIS HOME OFFERS. LOVELY CURB APPEAL, BRICK ELEVATION, CUSTOM PAINT, CEILING FANS IN ALL ROOMS, WOOD FLOORS, 2'' BLINDS, GARDEN TUB WITH SEPERATE SHOWER, COVERED PATIO, STORAGE SHED..TOO MUCH TO MENTION. STOP BY AND MAKE THIS YOUR HOME.",NULL,1YEAR,NULL,1352,APDIS,1,NULL,Rambling Brook Ln,6926,6926,Sunrise Meadow Sec 2,2008,4468,77469
30,Y,30,1,0,2,Beasley,9/11/14 0:00,N,NULL,"ELDRY,WASHR",CNELE,N,Formica,183,FORTBEND,7,7,1,Y,850,1,9/4/14 21:23,29.49754715,-95.91477966,850,BEASLEY,9/3/14 0:00,850,6600,APPDS,CSBAS,13,9/5/14 16:48,"Call agent for appointment.  Sample lease online, application required, tenant will go online on mysmartmove.com and pay the fee to apply and pull credit and background.  Legible copy of social and TDL & application.  If we can't read any of the above, the tenant will not be considered.  Tenant will do lawn care, landlord will trim bushes and change out A/C filters monthly.  Includes refrigerator, washer and dryer.",NULL,"Cute, affordable house in quiet Beasley neighborhood.  2 Bedroom, 1 bath, with generous yard and mature trees.  Includes refrigerator, washer and dryer.",NULL,1YEAR,FREES,796,APDIS,1,S,1st St,214,214,Beasley,1955,9416,77417
40,Y,30,2,1,3,Richmond,9/9/14 0:00,NULL,NULL,"ELDRY,WASHR",CNELE,N,NULL,183,FORTBEND,46,46,18,Y,1400,2,7/7/14 12:58,29.49938774,-95.7713089,1400,SUNRISE MEADOW,7/7/14 0:00,1400,5991,APPDS,CSBAS,13,8/20/14 12:22,"**ROOM DIMENSIONS ARE NOT CERTIFIED** All applications and questions to SREGleasing@gmail.com. Must have good rental, work and credit history. Must make 3-4X the rental amount. App fees are $40 per adult over 18 - married couple is $40 for both -NO PERSONAL CHECKS! Cash or Money order/Cashiers check payable to Sterling Real Estate Group. Send app with copies of SS Card, DL and Paycheck stubs. 1 Year Lease minimum. Pets case-by-case. RENTERS INSURANCE REQUIRED.",NULL,"Spacious three bedroom home in the Richmond area available for lease... Cul-de-sac lot... This wonderful home includes lovely garden tub and separate shower in Master bath, faux wood flooring in kitchen and dining areas for easy cleaning and large backyard for all your needs... Priced to go!! Call your agent to schedule a showing before it's gone!!!",NULL,1YEAR,FREES,1721,APDIS,2,NULL,Wheatstone Ct,4626,4626,Sunrise Meadow Sec 4,2009,5448,77469
35,Y,30,3,1,4,RICHMOND,9/9/14 0:00,Y,NULL,NULL,CNELE,Y,GRANITE,183,FORTBEND,19,19,NULL,Y,2250,2,NULL,NULL,NULL,2250,LAKES OF BELLA TERRA,8/21/14 0:00,2250,NULL,NULL,CSBAS,13,8/22/14 14:28,"A classic, brand new, two story, four bedroom, three and a half bath house, living, dining, central a/c, high ceilings, hardwoods/carpet, finishes, three car garage, fenced back yard, immediate availability, no appointment required, supra, thank you!",NULL,"A classic, brand new, two story, four bedroom, three and a half bath house, living, dining, central a/c, high ceilings, hardwoods/carpet, finishes, fenced back yard, 3 car garage, immediate availability, thank you!",NULL,1YEAR,FREES,2950,BUILD,2,NULL,VIA VERDONE,11522,11522,LAKES OF BELLA TERRA,2013,NULL,77406
35,Y,30,2,0,4,RICHMOND,9/8/14 0:00,N,NULL,"ELDRY,WASHR",CNELE,N,Laminate,183,FORTBEND,18,18,NULL,Y,1550,2,8/21/14 10:14,29.56746101,-95.75885773,1550,COUNTRY CLUB ESTATES,8/21/14 0:00,1550,9000,APPDS,CSBAS,32,8/21/14 10:14,"Good tenants, please.",NULL,"This is a clean and spacious home. This home has both formals and a large family room with high ceilings, fireplace with gas logs, built in book cases and cabinets. The kitchen has been completely remodeled with custom cabinets and new appliances. The master is split away from the other 3 bedrooms. Each room has a nice sized walk in closet. The garage is oversized with a workshop area. Nice fenced in yard and long driveway. Clean and ready.",NULL,1YEAR,FREES,1941,APDIS,1,NULL,TANGLELANE ST,2014,2014,COUNTRY CLUB ESTATES SEC 2,1973,5126,77469
40,Y,30,2,0,4,NEEDVILLE,9/8/14 0:00,N,NULL,NULL,CNELE,N,Laminate,183,FORTBEND,3,4,3,Y,1450,2,9/2/14 14:02,29.39004898,-95.84077454,1450,TEAL LANDING,9/2/14 0:00,1450,9600,APPDS,CSBAS,32,9/2/14 14:02,"Please use all TAR applications. Turn in application and once reviewed then the tenant will have to go to an online screening that is a cost of $40 per adult to obtain, credit, criminal, and eviction checks.",NULL,"Light, bright, neutral and well kept. This well used split floor plan home offers 4 bedroom, one of which could double as a study, and nice kitchen. Rich wood laminate floors and tile in the traffic areas,with carpet in the bedrooms. Open concept with 10 and 9 foot ceilings throughout. Lots of crown molding, spacious kitchen, spacious master with nice bath, plus an extra room off the master. Nestled on a huge lot with double drive, expansive back yard, huge wood deck and a nice storage building.",9/7/14 0:00,1YEAR,NULL,1869,APDIS,1,NULL,ANNA ST,9327,9327,TEAL LANDING SEC 1,2005,7906,77461
40,Y,30,2,0,3,SUGAR LAND,9/7/14 0:00,N,NULL,NULL,CNELE,Y,GRANITE,183,FORTBEND,11,11,26,Y,1850,2,8/1/14 16:27,29.56864548,-95.69094849,1850,RIVERPARK,8/1/14 0:00,1850,0,APPDS,CSBAS,16,8/1/14 17:01,"Ready for moving in. Please submit: $40 application fee/adult(cash, money order or cash's check), lease application, two recent pay check stubs or others docs to prove income, copies of driver's license for each adult applicant. Please take shows off.",NULL,"GORGEOUS ONE STORY HOME CONVENIENTLY LOCATED NEAR SHOPPING, HOSPITALS, PARK, EASY ACCESS TO HWY 59, HWY 99. NEW APPLIANCES, WELL MAINTAINED HOME. GRANITE COUNTERS, REFRIGERATOR, WASHER AND DRYER INCLUDED. NEW PLUSH CARPET IN THE FORMALS. NEW TILES IN THE HALLWAY TO THE KITCHEN AND LIVING ROOM. LUXURY CHANDELIER IN THE FORMAL DINING. LARGE MASTER SUITE WITH OVERSIZE CLOSET. SUPRE CLEAN. THIS IS A MUST SEE HOME.",NULL,LONGT,FREES,2381,APDIS,1,NULL,MEADOW CANYON DR,5214,5214,RIVERPARK SEC 11,2003,8873,77479
50,Y,30,2,0,3,RICHMOND,9/7/14 0:00,N,NULL,"GASDR,WASHR",CNELE,N,NULL,183,FORTBEND,21,21,NULL,Y,1750,2,8/17/14 10:21,29.66987038,-95.73095703,1700,WATERVIEW ESTATES,8/17/14 0:00,1700,NULL,NULL,CSBAS,10,8/17/14 15:12,The property is vacant. Ready to move in anytime. Supra box on the back door. Please fax application to: 1-866-846-1291. Please correct $ 50 application fee for each application.,NULL,2014 Brand New energy save 4 bedroom 3 bath one story home located in master community. 2 Master bedroom! Open Kitchen with dinning room. French door study room. 9' ceiling. 42' upgraded cabinet. Island kitchen. Open floor plan. Cover patio. Automatic sprinkler system. Hurry up! It won't last longer!,NULL,1YEAR,FREES,1899,BUILD,1,NULL,Elderberry Arbor,5318,5318,waterview  Estate,2014,NULL,77407
35,Y,30,2,1,4,Richmond,9/6/14 0:00,NULL,NULL,NULL,CNELE,N,NULL,183,FORTBEND,61,61,NULL,Y,NULL,2,7/7/14 10:25,29.52746391,-95.73268127,1775,RIVER RUN AT THE BRAZOS,7/7/14 0:00,1775,NULL,NULL,CSBAS,16,7/18/14 1:10,Office Open M-F 8am-6pm Sat & Sun 10-6pm Application per occupant 18 or older. Admin fee $75 upon lease signing. Applicant must apply and pay app fee online-www.americanhomes4rent.com.,NULL,"Great curb appeal! This home has modern finishes in the kitchen, and master bath has oversized tub and separate walk-in shower. Tile on the first floor and carpet up. Make your appointment today!",NULL,1YEAR,FREES,2484,APDIS,NULL,NULL,Honeysuckle Vine,927,927,RIVER RUN AT THE BRAZOS,2007,NULL,77469
45,Y,30,3,1,4,Sugar Land,9/5/14 0:00,N,NULL,"ELDRY,GASDR,WASHR","CNELE,ZONED",Y,Granite,183,FORTBEND,66,66,NULL,Y,2000,2,7/2/14 22:52,29.54598045,-95.67941284,2000,GREATWOOD CROSSING,7/1/14 0:00,2000,7065,APPDS,CSBAS,32,7/2/14 23:07,"Application Fee $45 per applicant covers credit/background check. Available September 1st. For information on this property, please contact Shanda Baker Kearns at 713-822-1917.",NULL,"Great floorplan. Ryland ''Chesterfield'' 2-story on wooded lot with large backyard! 4 bedrooms plus 3 1/2 baths! All tile and hardwood laminate flooring on first floor. Updated kitchen with white cabinets, granite counters, stainless steel appliances. High ceilings. Master down with fireplace. Luxurious master bath with whirlpool tub! 3 bedrooms, 2 full baths and gameroom upstairs. Open & bright floorplan! Covered patio. Sprinkler system. Great location! Available September 1st!",NULL,1YEAR,FREES,2489,APDIS,2,NULL,Moss Dale Dr,1211,1211,Greatwood Crossing,1994,6299,77479
0,Y,30,2,0,3,Richmond,9/5/14 0:00,N,NULL,NULL,CNELE,Y,GRANITE,183,FORTBEND,56,56,NULL,NULL,1800,2,7/11/14 22:50,29.56521606,-95.71651459,1700,RIVERPARK WEST,7/11/14 0:00,1700,7532,APPDS,NOALL,11,7/19/14 12:04,Good credit/ score needs over 650/ No smoker/ No pet/ No short term lease/ tenant provide recently full credit report to listing agent for approve/ no application fee/ 1 mo. deposit plus 1st mo. rent,NULL,NULL,NULL,1YEAR,FREES,2123,APDIS,NULL,NULL,Emerald Run Ln,22107,22107,Riverpark West Sec 2,2002,6356,77469
35,Y,30,1,1,3,Rosenberg,9/5/14 0:00,N,NULL,"ELDRY,WASHR",CNELE,N,TILE,183,FORTBEND,19,19,5,Y,1100,0,8/12/14 3:26,29.53910065,-95.81459808,1100,GRUNWALD HEIGHTS,8/12/14 0:00,1100,NULL,NULL,CSBAS,11,8/12/14 4:17,NICE OLDER HOME LOCATED ON 2 LOTS.  DESIRE GOOD TENANTS WITH GOOD CREDIT HISTORY AND THAT PAY ON TIME!,NULL,"OLDER 3/1.1 HOUSE WITH CARPORT LOCATED ON TWO LOTS IN CONVENIENT LOCATION CLOSE TO HWY 36 AND US59. HOUSE FEATURES HARDWOOD FLOORS IN LIVING ROOM AND BEDROOMS, TILE IN KITCHEN AND BATHROOM, PLANTATION SHUTTERS AND BLINDS, LARGE BACKYARD, STORAGE BUILDING, ALLEY ACCESS.  LOOKING FOR GOOD TENANTS WITH GOOD CREDIT HISTORY THAT PAY ON TIME!",NULL,1YEAR,FREES,1633,APDIS,NULL,NULL,Grunwald Heights,1210,1210,Grunwald Heights,1967,NULL,77471
50,Y,30,2,1,4,RICHMOND,9/5/14 0:00,NULL,NULL,"ELDRY,GASDR,WASHR",CNELE,Y,Corian,183,FORTBEND,11,11,2,Y,2500,2,8/15/14 7:27,29.67322922,-95.72920227,1895,WATERVIEW ESTATES,8/23/14 0:00,1895,0,APPDS,CSBAS,22,8/23/14 12:01,Appointment required. Text message your showing schedule & question to 713 261-8190 and pls include your name and public ID. Supra on right side hose bib. Home is NOT FOR SALE. Kindly download and review the lease application guide on listing before showing this home or submitting an application.,NULL,"Waterview Estates...located off the Grand Parkway close to the Westpark Tollway, providing for an easy commute into Houston, Sugar Land and Katy. Minutes away from restaurants and entertainment and close to The Palladium, Shops At Bella Terra and Katy Mills Mall. Home has stainless refrigerator, washer/dryer and sprinkler system, HUGE rear yard etc. Master bedroom up. Fort Bend ISD. House is NOT FOR SALE.",NULL,1YEAR,FREES,3136,APDIS,2,NULL,Juniper Chase TRL,19934,19934,WATERVIEW ESTATES SEC 5,2008,NULL,77407
50,Y,30,3,0,4,Sugar Land,9/4/14 0:00,N,NULL,GASDR,CNELE,N,NULL,183,FORTBEND,18,18,NULL,NULL,2200,3,8/17/14 14:54,NULL,NULL,2150,RIVERPARK,8/17/14 0:00,2200,9692,APPDS,NOALL,32,8/17/14 15:05,"We appreciate a feedback after showing.  This is a beautiful well kept home located in Riverpark. Easy access to freeways (Hwy 99 and SW 59). Great for a family looking for 1 story. 4 great size bedrooms, w 3 full baths, both formals (living and dining). Supra on front door. Tenant must have good credit, rental history, stable employment and verifiable income. No exceptions. $50 app. fee per adult.",NULL,"Gorgeous (1) one story single family home conveniently located in the heart of Riverpark. This is a beautiful well kept home with easy access to freeways (Hwy 99 & SW 59). Great for a family looking for a 1 story home. It has an open floor plan with updated tiles and a formal/dining combo. Impressive high ceiling accentuated by columns in formal living and dining area. Four great size bedrooms, w/ 3 full baths and 3 car garage. You won't be disappointed, schedule your showing now!",NULL,1YEAR,FREES,2827,APDIS,1,NULL,Thislerock Lane,2138,2138,Riverpark Sec 5,2000,NULL,77479
45,Y,30,2,0,4,RICHMOND,9/3/14 0:00,N,NULL,NULL,CNELE,N,NULL,183,FORTBEND,17,17,NULL,Y,1475,0,8/17/14 18:46,29.57208061,-95.76593781,1475,WINSTON TERRACE,8/17/14 0:00,1475,8188,APPDS,CSBAS,26,8/17/14 18:50,"PLEASE READ COMMISSON AND APPLICATION INSTRUCTIONS ATTACHED. Call CSS for access to property. 713-977-7469. The application cannot be processed until the entire application, proof of income, copy of ID's and application fee($45 for each adult paid online) is received. Houston Office : 7700 San Felipe Street",NULL,"Beautiful ranch style home with two living rooms with wood and laminate flooring plus a fireplace!  Will be fresh and ready! Home boasts a cozy sitting area in the back plus a shed for storage!  Master bedroom comes with french doors and the master suite has plenty of closet and storage space.  In a quiet neighborhood close to schools, shopping and highways, the home is a great value!  Pets are case by case.",NULL,1YEAR,FREES,2116,APDIS,1,NULL,DUDLEY ST,1210,1210,WINSTON TERRACE SEC 1,1953,4210,77469
35,Y,30,2,2,5,RICHMOND,9/3/14 0:00,NULL,NULL,"ELDRY,WASHR",CNELE,N,NULL,183,FORTBEND,17,17,NULL,Y,1800,2,8/17/14 20:44,29.53793716,-95.68839264,1600,TARA COLONY,8/17/14 0:00,1690,6376,APPDS,CSBAS,21,8/17/14 20:52,"OWNER/AGENT. All lease applications must have a copy of driver's license, social security, and last 2 months of paycheck stubs for everyone over 18. Application fee is $35/application. A lease application MUST be submitted for everyone over 18.",NULL,"Beautiful recently upgraded home for a big family. 5 bed, 2 full & 2 half bath, formal living and formal dining. Family room comes with a double-story lobby and cozy fireplace. Home comes with beautiful laminate floors in the entire house and tile in all wet areas. Comes with a stainless steel refrigerator, stainless steel microwave, and washer & dryer. A digital thermostat and garage door with motor, sensors, and remotes have been installed.",NULL,LONGT,FREES,2509,APDIS,2,NULL,BUCHANAN DR,7214,7214,Tara Sec 5,1997,5987,77469
40,Y,30,2,1,4,Sugar Land,9/2/14 0:00,N,NULL,"GASDR,WASHR",CNELE,N,Laminate,183,FORTBEND,13,13,29,N,2175,2,7/22/14 23:57,29.57058144,-95.68218231,1800,RIVERPARK,7/23/14 0:00,1800,NULL,NULL,NOALL,22,7/26/14 9:58,Please call showing service for instructions (713-977-7469). House is ready to move in.,NULL,"Beautiful two story house in Riverpark subdivision. House has been updated with new paint, new laminate, new gas range, and new carpet on each bedroom. The house has high ceiling with spacious living room. Master bedroom is downstairs. Minutes to the downtown of Sugar Land, University of Houston Sugar Land, Hwy. 59, and Hwy 99 (Grand Parkway). Sprinkler system. Yard maintenance will be provided by the owner. House is ready to move in. Lots of light inside the house. You will love it.",NULL,LONGT,FREES,2628,APDIS,2,NULL,Waterwood Dr.,2427,2427,Riverpark,2000,8906,77479
50,Y,30,1,0,1,Fulshear,9/2/14 0:00,N,NULL,NULL,WDUNT,N,Formica,183,FORTBEND,17,17,5,Y,1300,0,8/11/14 12:55,29.6924839,-95.89898682,1000,FULSHEAR,8/11/14 0:00,1300,11250,APPDS,CSBAS,14,8/11/14 12:53,"Property is vacant, Go and Show.  Combo on the front door-1427.  If the key is missing the door will be unlocked.  Please lock all doors and turn off all lights. Please provide the following: Lease application, 2  months of paycheck stubs, copy of driver's license and $50 application fee per applicant.  Credit and background check required.",NULL,"Cute 1 Bedroom, 1 Bath Bungalow in Downtown Fulshear on .25 acres with Carport and Storage building.  This property is immaculate and features one large bedroom, nice size Kitchen with wood cabinets, stainless steel sink, Refrigerator and microwave, full bath with tub and separate area with washer/dryer.  The property also has a carport with large storage area and walking distance to the local restaurants and activities.",NULL,1YEAR,FREES,534,APDIS,1,NULL,Wilson St,8409,8409,Fulshear,1980,NULL,77441
40,Y,30,2,0,3,Rosenberg,9/2/14 0:00,N,NULL,NULL,CNELE,Y,NULL,183,FORTBEND,12,12,1,Y,1850,2,8/20/14 11:13,29.53013611,-95.72051239,1850,BONBROOK PLANTATION,8/20/14 0:00,1850,6726,APPDS,CSBAS,25,8/20/14 12:13,PLEASE SUBMIT A COPY OF TDL PLUS LAST PAY STUB WITH YTD EARNINGS WITH APPLICATION. AFTER REVIEW THE APPLICANT WILL BE SENT A LINK TO MYSMARTMOVE.COM FOR BACKGROUND AND CREDIT REPORT.READY IMMEDIATELY.,NULL,"PRIDE OF OWNERSHIP SHOWS HERE! 1.5 STORY HAS A HUGE GAMEROOM UPSTAIRS, ALL BEDROOMS DOWNSTAIRS. VERY FUNCTIONAL! KITCHEN OFFERS AN EXTENDED SERVING/BREAKFAST BAR AND OVERLOOKS THE DINING AREA AND THE FAMILY ROOM. AMPLE COUNTER/CABINET SPACE! TILE IN EXTENDED ENTRY, KITCHEN, DINING AND BATHS. MASTER SUITE W/ EXECUTIVE BATH HAS DOUBLE SINKS, GARDEN TUB AND SEPARATE SHOWER IS SPLIT FROM SECONDARY BEDROOMS.  LEADED GLASS DOOR COMPLIMENTS THE COVERED FRONT PORCH. UPGRADES!! READY IMMEDIATELY! NICE!!!",9/2/14 0:00,1YEAR,FREES,2175,APDIS,NULL,NULL,Bonbrook Bend Ln,9110,9110,Bonbrook Plantation North Se,2009,4776,77469
40,Y,30,2,0,3,Sugar Land,9/2/14 0:00,N,NULL,NULL,CNELE,N,NULL,183,FORTBEND,28,28,1,Y,1450,2,9/3/14 12:54,29.64971352,-95.67498016,1450,VILLAGE OF OAK LAKE,8/4/14 0:00,1450,5258,APPDS,CSBAS,11,9/3/14 13:15," ATTENTION AGENTS: ALL ITEMS need to be received in order to start processing application.  Please turn in a FULLY completed application (with all phone numbers to verify references), 2 current paystubs & copy of driver's license.  $40 Application fee per adult. All occupants over the age of 18 need to complete application.  Application fee can be paid online at www.SUGARLANDPM.com. Once approved, SECURITY DEPOSIT IS DUE WITHIN 48 HOURS ALONG WITH A SIGNED LEASE which we will prepare.",NULL,NULL,NULL,1YEAR,FREES,1684,APDIS,NULL,NULL,Yabbie Dr,16327,16327,Oak Lake Court,2006,7631,77498
35,Y,30,2,1,4,RICHMOND,9/1/14 0:00,NULL,NULL,NULL,CNELE,N,NULL,183,FORTBEND,25,25,10,Y,NULL,2,7/28/14 9:10,29.49806595,-95.76878357,1695,SUNRISE MEADOW,7/28/14 0:00,1695,7198,APPDS,CSBAS,14,7/28/14 9:11,Office Open M-F 8am-6pm Sat & Sun 10-6pm Application per occupant 18 or older. Admin fee $75 upon lease signing. Applicant must apply and pay app fee online-www.americanhomes4rent.com.,NULL,READY FOR QUICK MOVE-IN,NULL,1YEAR,NULL,2061,APDIS,2,NULL,ROSEBUD HOLLOW LN,7039,7039,SUNRISE MEADOW SEC 4,2009,5460,77469
40,Y,30,4,0,6,SUGAR LAND,9/1/14 0:00,N,NULL,NULL,CNELE,N,granite,183,FORTBEND,25,25,10,Y,2000,2,8/3/14 16:25,29.56571007,-95.69488525,2000,RIVERPARK,7/28/14 0:00,2000,NULL,NULL,CSBAS,31,8/6/14 10:59,No appointment required! Vacant on Supra! Supra is on the front door. Please leave your business card.Please email application with the recent paystubs and driver's license copy. $40 non refundable application fees per applicant. Thank you for showing. The seller is the agent. So please call him at 713-446-5086 for any questions.,OWNER,"approx 3400sqft 6 bed room /4 bath /2 story /2car detached garage. Large Gourmet kitchen gas cooktop, many cabinets& separate/breakfast/dining. open floor plan, Lot's of light! 2 living areas , oversized master bedroom, covered back patio. Wood floor, granite and outside kitchen. Wired for Surround sound with ceiling speakers, water filtration under sink, sun screen on windows etc. Property is located on corner of Hwy 59 and Grand parkway. Easy access for shopping, mall, hospital, parks etc.",NULL,1YEAR,FREES,3400,SELLR,NULL,NULL,BROOK ARBOR LN,3210,3210,RIVERPARK,2002,NULL,77479
45,Y,30,3,0,4,Richmond,9/1/14 0:00,N,NULL,"ELDRY,GASDR,WASHR",CNELE,N,Granite,183,FORTBEND,9,9,14,Y,1875,2,8/4/14 10:39,29.52623558,-95.72789764,1850,BONBROOK PLANTATION,8/4/14 0:00,1850,NULL,SURVY,CSBAS,13,8/4/14 10:41,"ALMOST PENDING, WAITING FOR FINAL FUNDING. TENANT OCCUPIED, CONFIRM APPT ONLY. No cat, No smokers. Listing agent check the credit and tenant background. Please provide relocation company letter, copies of driver license, and paid check stubs, bank statement. Application fee $45 each adult. Husband and wife with the same last name only $65. Not so perfect credit require extra deposit. ",OWNER,"ALMOST PENDING, WAITING FOR FINAL FUNDING. Elegant one and half story home. All 4 bedrooms, children retreat downstairs,extra tiled sunroom by kitchen & media/game room upstairs spacious 3521 sqft. Tiles floor in entry, kitchen & all wet area, pre-wired surround sound. Kitchen w/upgraded cabinets, granite countertop, stainless steel appliances.  cover porches front &backyard. Energy saving low utility bills! Great view back yard, no back neighbor. state-of-art Gorge Ranch High School.",8/30/14 0:00,1YEAR,FREES,3521,APDIS,NULL,NULL,High Ridge Ln,8830,8830,Bonbrook Plantation,2007,4975,77469
80,Y,30,2,0,3,SUGAR LAND,9/1/14 0:00,N,NULL,NULL,CNELE,N,Granite,183,FORTBEND,16,16,11,Y,1795,2,8/5/14 19:29,29.5562973,-95.66537476,1975,GREATWOOD TERRACE,8/5/14 0:00,1795,8887,APPDS,CSBAS,16,8/5/14 19:29,"Refrigerator is included. Please submit: Copy of Photo ID, 2 recent paystubs. Lease App. (TAR-2003), Agreement for App. Dep. and Hold on Property (TAR-2009), Sec Dep., and App Fee = $40per person over 18 or $80 per married couple. FIRST MONTHS RENT AND SEC. DEP. DUE IN CERTIFIED FUNDS. $250 non-refundable pet deposit per pet.",NULL,Showing starts on 8/8/2014. Elegant 1 story beautiful home located on a corner of a cul-de-sac lot. Leaded glass entry door opens to tiled entry. Wood laminate flooring flows through the huge family room and into the formal dining room and hallways. Spacious island kitchen with tile flooring. Granite countertop and backslash. Luxurious master bath with tile flooring. All brick exterior! Stainless Steel refrigerator is included.,NULL,LONGT,NULL,2005,SELLR,1,NULL,BLUEBEARD CT,1714,1714,GREATWOOD TERRACE SEC 1,1997,6352,77479
65,Y,30,2,1,4,Sugar Land,9/1/14 0:00,NULL,NULL,"ELDRY,GASDR,WASHR",CNELE,N,Granite,183,FORTBEND,5,5,17,Y,2350,2,8/10/14 12:39,29.5416317,-95.68553925,2350,GREATWOOD CROSSING,8/10/14 0:00,2350,10868,APPDS,CSBAS,21,8/10/14 15:10,Thanks for showing!,NULL,"Location perfection for your rental pleasure, this home affords ultimate back yard privacy. Surprisingly spacious floor plan, four true bedrooms plus a study. The open kitchen has been very recently updated. No carpet in this house.  The massive outdoor covered patio just received a new tile floor, and you will be amazed! There's even a separate fenced dog run. Excellent schools and one of the finest neighborhoods ensure this property to be a first choice for you!  Flatscreen TVs stay ''as-is''!",NULL,1YEAR,FREES,2237,APDIS,1,NULL,Deer Hollow Dr,507,507,Greatwood Crossing Sec 3,1999,6465,77479
